,median_income,total_population,tract,race,population
1460,48560.0,5890.0,180901,hispanic,4537.0
1549,36390.0,7969.0,180902,hispanic,6779.0
1654,48750.0,3393.0,181001,hispanic,2454.0
1183,37832.0,8338.0,181003,other_non_hispanic,1044.0
875,43205.0,5392.0,181004,asian_non_hispanic,420.0
564,34597.0,4177.0,181005,black_non_hispanic,576.0
11,64930.0,6359.0,181100,white_non_hispanic,2849.0
153,82266.0,5335.0,181200,white_non_hispanic,2530.0
822,57109.0,4536.0,181301,asian_non_hispanic,282.0
641,48006.0,6523.0,181302,black_non_hispanic,542.0
874,32149.0,4173.0,181303,asian_non_hispanic,680.0
820,39635.0,2728.0,181402,asian_non_hispanic,393.0
782,55697.0,7029.0,181403,asian_non_hispanic,2297.0
961,60500.0,5667.0,181404,asian_non_hispanic,1546.0
917,50904.0,8430.0,181503,asian_non_hispanic,407.0
456,47127.0,6930.0,181504,black_non_hispanic,1325.0
54,68875.0,4942.0,181505,white_non_hispanic,1666.0
869,45842.0,4556.0,181506,asian_non_hispanic,216.0
1541,44703.0,3468.0,181601,hispanic,2586.0
1591,42159.0,6007.0,181602,hispanic,5249.0
232,82708.0,7484.0,181703,white_non_hispanic,3364.0
774,61667.0,6579.0,181704,asian_non_hispanic,208.0
777,54289.0,5796.0,181705,asian_non_hispanic,627.0
913,83564.0,9030.0,181711,asian_non_hispanic,770.0
137,80000.0,4460.0,181712,white_non_hispanic,1610.0
139,62792.0,8183.0,181713,white_non_hispanic,2629.0
1535,60932.0,6573.0,181715,hispanic,4654.0
1408,52179.0,8871.0,181716,other_non_hispanic,238.0
136,77606.0,5850.0,181718,white_non_hispanic,2947.0
323,120104.0,5066.0,181720,white_non_hispanic,1976.0
45,106307.0,3979.0,181721,white_non_hispanic,1679.0
1272,91250.0,5166.0,181722,other_non_hispanic,154.0
1271,69912.0,4912.0,181723,other_non_hispanic,207.0
993,109545.0,5488.0,181724,asian_non_hispanic,387.0
634,46161.0,5045.0,181725,black_non_hispanic,409.0
1130,89375.0,10383.0,181726,other_non_hispanic,280.0
1638,59932.0,4172.0,181727,hispanic,3214.0
1218,72852.0,11498.0,181728,other_non_hispanic,403.0
1313,105853.0,9256.0,181729,other_non_hispanic,479.0
1220,62793.0,4085.0,181730,other_non_hispanic,114.0
1273,91054.0,7741.0,181731,other_non_hispanic,393.0
819,83333.0,1785.0,181808,asian_non_hispanic,217.0
1278,50893.0,6770.0,181809,other_non_hispanic,198.0
1090,77969.0,4555.0,181811,other_non_hispanic,148.0
1422,43621.0,8061.0,181813,other_non_hispanic,425.0
920,57459.0,6811.0,181814,asian_non_hispanic,577.0
919,86644.0,3449.0,181815,asian_non_hispanic,154.0
1416,100509.0,4647.0,181816,other_non_hispanic,219.0
1052,54174.0,3774.0,181817,asian_non_hispanic,288.0
1053,71458.0,6288.0,181818,asian_non_hispanic,613.0
1056,48891.0,7468.0,181819,asian_non_hispanic,696.0
1055,31371.0,8305.0,181820,asian_non_hispanic,692.0
1137,69208.0,3563.0,181821,other_non_hispanic,131.0
730,63625.0,5155.0,181822,asian_non_hispanic,119.0
772,56514.0,3409.0,181823,asian_non_hispanic,478.0
502,74674.0,3228.0,181824,black_non_hispanic,329.0
1049,72422.0,5209.0,181825,asian_non_hispanic,542.0
773,85680.0,7963.0,181826,asian_non_hispanic,440.0
960,67969.0,5945.0,181901,asian_non_hispanic,888.0
91,131278.0,7984.0,181902,white_non_hispanic,4292.0
